kegg,name,EC,EC1,EC2,EC3,cog,cogid,cogcat,cogdesc
K04077,chaperonin GroEL,NA,NA,NA,NA,Chaperonin GroEL (HSP60 family),COG0459,O,"Post-translational modification, protein turnover, chaperone functions"
K04078,chaperonin GroES,NA,NA,NA,NA,Co-chaperonin GroES (HSP10),COG0234,O,"Post-translational modification, protein turnover, chaperone functions"
K04079,molecular chaperone HtpG,NA,NA,NA,NA,"Molecular chaperone, HSP90 family",COG0326,O,"Post-translational modification, protein turnover, chaperone functions"
K04080,molecular chaperone IbpA,NA,NA,NA,NA,"Molecular chaperone IbpA, HSP20 family",COG0071,O,"Post-translational modification, protein turnover, chaperone functions"
K04081,molecular chaperone IbpB,NA,NA,NA,NA,"Molecular chaperone IbpA, HSP20 family",COG0071,O,"Post-translational modification, protein turnover, chaperone functions"
K04082,molecular chaperone HscB,NA,NA,NA,NA,DnaJ-domain-containing proteins 1,COG1076,O,"Post-translational modification, protein turnover, chaperone functions"
K04083,molecular chaperone Hsp33,NA,NA,NA,NA,"Redox-regulated molecular chaperone, HSP33 family",COG1281,O,"Post-translational modification, protein turnover, chaperone functions"
K04084,thiol:disulfide interchange protein DsbD [EC:1.8.1.8],1.8.1.8,Oxidoreductases,Acting on a sulfur group of donors,With NAD(+) or NADP(+) as acceptor,Thiol-disulfide isomerase or thioredoxin,COG0526,O,"Post-translational modification, protein turnover, chaperone functions"
K04085,tRNA 2-thiouridine synthesizing protein A [EC:2.8.1.-],2.8.1.-,Transferases,Transferring sulfur-containing groups,Sulfurtransferases,TusA-related sulfurtransferase,COG0425,O,"Post-translational modification, protein turnover, chaperone functions"
K04086,ATP-dependent Clp protease ATP-binding subunit ClpL,NA,NA,NA,NA,ATP-dependent Clp protease ATP-binding subunit ClpA,COG0542,O,"Post-translational modification, protein turnover, chaperone functions"
K04087,membrane protease subunit HflC [EC:3.4.-.-],3.4.-.-,Hydrolases,Acting on peptide bonds (peptidases),Acting on peptide bonds (peptidases),"Regulator of protease activity HflC, stomatin/prohibitin superfamily",COG0330,O,"Post-translational modification, protein turnover, chaperone functions"
K04088,membrane protease subunit HflK [EC:3.4.-.-],3.4.-.-,Hydrolases,Acting on peptide bonds (peptidases),Acting on peptide bonds (peptidases),"Regulator of protease activity HflC, stomatin/prohibitin superfamily",COG0330,O,"Post-translational modification, protein turnover, chaperone functions"
K04091,alkanesulfonate monooxygenase [EC:1.14.14.5],1.14.14.5,Oxidoreductases,"Acting on paired donors, with incorporation or reduction of molecular oxygen","With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)",COG2141,H,Coenzyme metabolis
K04092,chorismate mutase [EC:5.4.99.5],5.4.99.5,Isomerases,Intramolecular transferases,Transferring other groups,Chorismate mutase,COG1605,E,Amino Acid metabolis and transport
K04093,chorismate mutase [EC:5.4.99.5],5.4.99.5,Isomerases,Intramolecular transferases,Transferring other groups,Chorismate mutase,COG1605,E,Amino Acid metabolis and transport
K04094,methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74],2.1.1.74,Transferases,Transferring one-carbon groups,Methyltransferases,Folate-dependent tRNA-U54 methylase TrmFO/GidA,COG1206,J,Tranlsation
K04095,cell filamentation protein,NA,NA,NA,NA,"Fido, protein-threonine AMPylation domain",COG2184,T,Signal Transduction
K04096,DNA processing protein,NA,NA,NA,NA,Predicted Rossmann fold nucleotide-binding protein DprA/Smf involved in DNA uptake,COG0758,L,Replication and repair
K04097,prostaglandin-H2 D-isomerase / glutathione transferase [EC:5.3.99.2 2.5.1.18],5.3.99.2,Isomerases,Intramolecular oxidoreductases,Other intramolecular oxidoreductases,NA,NA,NA,NA
K04101,"protocatechuate 4,5-dioxygenase, beta chain [EC:1.13.11.8]",1.13.11.8,Oxidoreductases,Acting on single donors with incorporation of molecular oxygen (oxygenases),With incorporation of two atoms of oxygen,NA,NA,NA,NA
K04103,indolepyruvate decarboxylase [EC:4.1.1.74],4.1.1.74,Lyases,Carbon-carbon lyases,Carboxy-lyases,"TPP-dependent 2-oxoacid decarboxylase, includes indolepyruvate decarboxylase",COG3961,G,Carbohydrate metabolism and transport
K04110,benzoate-CoA ligase [EC:6.2.1.25],6.2.1.25,Ligases,Forming carbon-sulfur bonds,Acid--thiol ligases,Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase,COG0365,I,Lipid metabolism
K04333,"LuxR family transcriptional regulator, csgAB operon transcriptional regulatory protein",NA,NA,NA,NA,"DNA-binding transcriptional regulator, CsgD family",COG2771,K,Transcription
K04334,major curlin subunit,NA,NA,NA,NA,NA,NA,NA,NA
K04335,minor curlin subunit,NA,NA,NA,NA,NA,NA,NA,NA
K04336,curli production protein,NA,NA,NA,NA,NA,NA,NA,NA
K04337,curli production assembly/transport component CsgE,NA,NA,NA,NA,NA,NA,NA,NA
K04338,curli production assembly/transport component CsgF,NA,NA,NA,NA,NA,NA,NA,NA
K04477,putative hydrolase,NA,NA,NA,NA,Histidinol phosphatase or related hydrolase of the PHP family,COG1387,E,Amino Acid metabolis and transport
K04478,monofunctional glycosyltransferase [EC:2.4.1.129],2.4.1.129,Transferases,Glycosyltransferases,Hexosyltransferases,Membrane carboxypeptidase (penicillin-binding protein),COG0744,M,Cell wall/membrane/envelop biogenesis
K04485,DNA repair protein RadA/Sms,NA,NA,NA,NA,Predicted ATP-dependent serine protease,COG1066,O,"Post-translational modification, protein turnover, chaperone functions"
K04486,histidinol-phosphatase (PHP family) [EC:3.1.3.15],3.1.3.15,Hydrolases,Acting on ester bonds,Phosphoric monoester hydrolases,Histidinol phosphatase or related hydrolase of the PHP family,COG1387,E,Amino Acid metabolis and transport
K04487,cysteine desulfurase [EC:2.8.1.7],2.8.1.7,Transferases,Transferring sulfur-containing groups,Sulfurtransferases,Cysteine sulfinate desulfinase/cysteine desulfurase or related enzyme,COG1104,E,Amino Acid metabolis and transport
K04488,nitrogen fixation protein NifU and related proteins,NA,NA,NA,NA,NifU homolog involved in Fe-S cluster formation,COG0822,O,"Post-translational modification, protein turnover, chaperone functions"
K04509,uncharacterized protein,NA,NA,NA,NA,NA,NA,NA,NA
K04516,chorismate mutase [EC:5.4.99.5],5.4.99.5,Isomerases,Intramolecular transferases,Transferring other groups,Chorismate mutase,COG1605,E,Amino Acid metabolis and transport
K04517,prephenate dehydrogenase [EC:1.3.1.12],1.3.1.12,Oxidoreductases,Acting on the CH-CH group of donors,With NAD(+) or NADP(+) as acceptor,Prephenate dehydrogenase,COG0287,E,Amino Acid metabolis and transport
K04518,prephenate dehydratase [EC:4.2.1.51],4.2.1.51,Lyases,Carbon-oxygen lyases,Hydro-lyases,Prephenate dehydratase,COG0077,E,Amino Acid metabolis and transport
K04561,nitric oxide reductase subunit B [EC:1.7.2.5],1.7.2.5,Oxidoreductases,Acting on other nitrogenous compounds as donors,With a cytochrome as acceptor,Nitric oxide reductase large subunit,COG3256,P,Inorganic ion transport and metabolism
K04562,flagellar biosynthesis protein FlhG,NA,NA,NA,NA,MinD-like ATPase involved in chromosome partitioning or flagellar assembly,COG0455,D,Cell cycle control and mitosis
K04564,"superoxide dismutase, Fe-Mn family [EC:1.15.1.1]",1.15.1.1,Oxidoreductases,Acting on superoxide as acceptor,Acting on superoxide as acceptor,Superoxide dismutase,COG0605,P,Inorganic ion transport and metabolism
K04565,"superoxide dismutase, Cu-Zn family [EC:1.15.1.1]",1.15.1.1,Oxidoreductases,Acting on superoxide as acceptor,Acting on superoxide as acceptor,Cu/Zn superoxide dismutase,COG2032,P,Inorganic ion transport and metabolism
K04567,"lysyl-tRNA synthetase, class II [EC:6.1.1.6]",6.1.1.6,Ligases,Forming carbon-oxygen bonds,Ligases forming aminoacyl-tRNA and related compounds,Lysyl-tRNA synthetase (class II),COG1190,J,Tranlsation
K04568,elongation factor P--(R)-beta-lysine ligase [EC:6.3.1.-],6.3.1.-,Ligases,Forming carbon-nitrogen bonds,Acid--ammonia (or amine) ligases (amide synthases),Elongation factor P--beta-lysine ligase (EF-P beta-lysylation pathway),COG2269,J,Tranlsation
K04651,hydrogenase nickel incorporation protein HypA/HybF,NA,NA,NA,NA,Zn finger protein HypA/HybF (possibly regulating hydrogenase expression),COG0375,R,General Functional Prediction only
K04652,hydrogenase nickel incorporation protein HypB,NA,NA,NA,NA,Ni2+-binding GTPase involved in regulation of expression and maturation of urease and hydrogenase,COG0378,O,"Post-translational modification, protein turnover, chaperone functions"
K04653,hydrogenase expression/formation protein HypC,NA,NA,NA,NA,Hydrogenase maturation factor,COG0298,O,"Post-translational modification, protein turnover, chaperone functions"
K04654,hydrogenase expression/formation protein HypD,NA,NA,NA,NA,Hydrogenase maturation factor,COG0409,O,"Post-translational modification, protein turnover, chaperone functions"
K04655,hydrogenase expression/formation protein HypE,NA,NA,NA,NA,Hydrogenase maturation factor,COG0309,O,"Post-translational modification, protein turnover, chaperone functions"
K04656,hydrogenase maturation protein HypF,NA,NA,NA,NA,Hydrogenase maturation factor HypF (carbamoyltransferase),COG0068,O,"Post-translational modification, protein turnover, chaperone functions"
K04691,serine protease DegS [EC:3.4.21.-],3.4.21.-,Hydrolases,Acting on peptide bonds (peptidases),Serine endopeptidases,"Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain",COG0265,O,"Post-translational modification, protein turnover, chaperone functions"
K04719,"5,6-dimethylbenzimidazole synthase [EC:1.13.11.79]",1.13.11.79,Oxidoreductases,Acting on single donors with incorporation of molecular oxygen (oxygenases),With incorporation of two atoms of oxygen,Nitroreductase,COG0778,C,Energy production and conversion
K04720,threonine-phosphate decarboxylase [EC:4.1.1.81],4.1.1.81,Lyases,Carbon-carbon lyases,Carboxy-lyases,Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase,COG0079,E,Amino Acid metabolis and transport
K04744,LPS-assembly protein,NA,NA,NA,NA,LPS assembly outer membrane protein LptD (organic solvent tolerance protein OstA),COG1452,M,Cell wall/membrane/envelop biogenesis
K04749,anti-sigma B factor antagonist,NA,NA,NA,NA,Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor),COG1366,T,Signal Transduction
K04750,PhnB protein,NA,NA,NA,NA,"Uncharacterized conserved protein PhnB, glyoxalase superfamily",COG2764,R,General Functional Prediction only
K04751,nitrogen regulatory protein P-II 1,NA,NA,NA,NA,Nitrogen regulatory protein PII,COG0347,T,Signal Transduction
K04752,nitrogen regulatory protein P-II 2,NA,NA,NA,NA,Nitrogen regulatory protein PII,COG0347,T,Signal Transduction
K04753,suppressor of ftsI,NA,NA,NA,NA,Multicopper oxidase with three cupredoxin domains (includes cell division protein FtsP and spore coat protein CotA),COG2132,D,Cell cycle control and mitosis
K04754,phospholipid-binding lipoprotein MlaA,NA,NA,NA,NA,"ABC-type transporter Mla maintaining outer membrane lipid asymmetry, lipoprotein component MlaA",COG2853,M,Cell wall/membrane/envelop biogenesis
K04755,"ferredoxin, 2Fe-2S",NA,NA,NA,NA,Ferredoxin,COG0633,C,Energy production and conversion
K04756,alkyl hydroperoxide reductase subunit D,NA,NA,NA,NA,"Alkylhydroperoxidase family enzyme, contains CxxC motif",COG2128,P,Inorganic ion transport and metabolism
K04757,serine/threonine-protein kinase RsbW [EC:2.7.11.1],2.7.11.1,Transferases,Transferring phosphorus-containing groups,Protein-serine/threonine kinases,Anti-sigma regulatory factor (Ser/Thr protein kinase),COG2172,T,Signal Transduction
K04758,ferrous iron transport protein A,NA,NA,NA,NA,Fe2+ transport system protein FeoA,COG1918,P,Inorganic ion transport and metabolism
K04759,ferrous iron transport protein B,NA,NA,NA,NA,Fe2+ transport system protein B,COG0370,P,Inorganic ion transport and metabolism
K04760,transcription elongation factor GreB,NA,NA,NA,NA,"Transcription elongation factor, GreA/GreB family",COG0782,K,Transcription
K04761,"LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator",NA,NA,NA,NA,"DNA-binding transcriptional regulator, LysR family",COG0583,K,Transcription
K04762,ribosome-associated heat shock protein Hsp15,NA,NA,NA,NA,"Ribosomal 50S subunit-recycling heat shock protein, contains S4 domain",COG1188,J,Tranlsation
K04763,integrase/recombinase XerD,NA,NA,NA,NA,Integrase,COG0582,L,Replication and repair
K04764,integration host factor subunit alpha,NA,NA,NA,NA,Bacterial nucleoid DNA-binding protein,COG0776,L,Replication and repair
K04767,acetoin utilization protein AcuB,NA,NA,NA,NA,CBS domain,COG0517,T,Signal Transduction
K04769,"AbrB family transcriptional regulator, stage V sporulation protein T",NA,NA,NA,NA,Bifunctional DNA-binding transcriptional regulator of stationary/sporulation/toxin gene expression and antitoxin component of the YhaV-PrlF toxin-antitoxin module,COG2002,K,Transcription
K04770,Lon-like ATP-dependent protease [EC:3.4.21.-],3.4.21.-,Hydrolases,Acting on peptide bonds (peptidases),Serine endopeptidases,Predicted ATP-dependent protease,COG1067,O,"Post-translational modification, protein turnover, chaperone functions"
K04771,serine protease Do [EC:3.4.21.107],3.4.21.107,Hydrolases,Acting on peptide bonds (peptidases),Serine endopeptidases,"Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain",COG0265,O,"Post-translational modification, protein turnover, chaperone functions"
K04772,serine protease DegQ [EC:3.4.21.-],3.4.21.-,Hydrolases,Acting on peptide bonds (peptidases),Serine endopeptidases,"Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain",COG0265,O,"Post-translational modification, protein turnover, chaperone functions"
K04773,protease IV [EC:3.4.21.-],3.4.21.-,Hydrolases,Acting on peptide bonds (peptidases),Serine endopeptidases,"Periplasmic serine protease, ClpP class",COG0616,O,"Post-translational modification, protein turnover, chaperone functions"
K04774,serine protease SohB [EC:3.4.21.-],3.4.21.-,Hydrolases,Acting on peptide bonds (peptidases),Serine endopeptidases,"Periplasmic serine protease, ClpP class",COG0616,O,"Post-translational modification, protein turnover, chaperone functions"
K04775,protease YdgD [EC:3.4.21.-],3.4.21.-,Hydrolases,Acting on peptide bonds (peptidases),Serine endopeptidases,V8-like Glu-specific endopeptidase,COG3591,E,Amino Acid metabolis and transport
K04781,salicylate synthetase [EC:5.4.4.2 4.2.99.21],5.4.4.2,Isomerases,Intramolecular transferases,Transferring hydroxy groups,Anthranilate/para-aminobenzoate synthases component I,COG0147,E,Amino Acid metabolis and transport
K04782,isochorismate pyruvate lyase [EC:4.2.99.21],4.2.99.21,Lyases,Carbon-oxygen lyases,Other carbon-oxygen lyases,Chorismate mutase,COG1605,E,Amino Acid metabolis and transport
K04783,yersiniabactin salicyl-AMP ligase [EC:6.3.2.-],6.3.2.-,Ligases,Forming carbon-nitrogen bonds,Acid--amino-acid ligases (peptide synthases),Non-ribosomal peptide synthetase component E (peptide arylation enzyme),COG1021,Q,Secondary Structure
K04784,yersiniabactin nonribosomal peptide synthetase,NA,NA,NA,NA,NA,NA,NA,NA
K04785,"yersiniabactin synthetase, thiazolinyl reductase component",NA,NA,NA,NA,"Oxidoreductase (NAD-binding), involved in siderophore biosynthesis",COG4693,P,Inorganic ion transport and metabolism
K04786,yersiniabactin nonribosomal peptide/polyketide synthase,NA,NA,NA,NA,NA,NA,NA,NA
K04835,methylaspartate ammonia-lyase [EC:4.3.1.2],4.3.1.2,Lyases,Carbon-nitrogen lyases,Ammonia-lyases,Methylaspartate ammonia-lyase,COG3799,E,Amino Acid metabolis and transport
K04844,hypothetical glycosyl hydrolase [EC:3.2.1.-],3.2.1.-,Hydrolases,Glycosylases,"Glycosidases, i",Trehalose and maltose hydrolase (possible phosphorylase),COG1554,G,Carbohydrate metabolism and transport
K05020,glycine betaine transporter,NA,NA,NA,NA,Choline-glycine betaine transporter,COG1292,M,Cell wall/membrane/envelop biogenesis
K05245,L-carnitine/gamma-butyrobetaine antiporter,NA,NA,NA,NA,Choline-glycine betaine transporter,COG1292,M,Cell wall/membrane/envelop biogenesis
K05275,pyridoxine 4-dehydrogenase [EC:1.1.1.65],1.1.1.65,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,Predicted oxidoreductase (related to aryl-alcohol dehydrogenase),COG0667,R,General Functional Prediction only
K05281,2'-hydroxyisoflavone reductase [EC:1.3.1.45],1.3.1.45,Oxidoreductases,Acting on the CH-CH group of donors,With NAD(+) or NADP(+) as acceptor,NA,NA,NA,NA
K05297,rubredoxin---NAD+ reductase [EC:1.18.1.1],1.18.1.1,Oxidoreductases,Acting on iron-sulfur proteins as donors,With NAD(+) or NADP(+) as acceptor,"NAD(P)H-nitrite reductase, large subunit",COG1251,C,Energy production and conversion
K05301,sulfite dehydrogenase [EC:1.8.2.1],1.8.2.1,Oxidoreductases,Acting on a sulfur group of donors,With a cytochrome as acceptor,NA,NA,NA,NA
K05303,O-methyltransferase [EC:2.1.1.-],2.1.1.-,Transferases,Transferring one-carbon groups,Methyltransferases,NA,NA,NA,NA
K05304,sialic acid synthase [EC:2.5.1.56 2.5.1.57 2.5.1.132],2.5.1.56,Transferases,"Transferring alkyl or aryl groups, other than methyl groups","Transferring alkyl or aryl groups, other than methyl groups",NA,NA,NA,NA
K05306,phosphonoacetaldehyde hydrolase [EC:3.11.1.1],3.11.1.1,Hydrolases,Acting on carbon-phosphorus bonds,Acting on carbon-phosphorus bonds,NA,NA,NA,NA
K05311,central glycolytic genes regulator,NA,NA,NA,NA,"DNA-binding transcriptional regulator LsrR, DeoR family",COG2390,K,Transcription
K05337,ferredoxin,NA,NA,NA,NA,Ferredoxin,COG1141,C,Energy production and conversion
K05338,holin-like protein,NA,NA,NA,NA,"Putative effector of murein hydrolase LrgA, UPF0299 family",COG1380,R,General Functional Prediction only
K05339,holin-like protein LrgB,NA,NA,NA,NA,Putative effector of murein hydrolase,COG1346,M,Cell wall/membrane/envelop biogenesis
K05340,glucose uptake protein,NA,NA,NA,NA,Glucose uptake protein GlcU,COG4975,G,Carbohydrate metabolism and transport
K05341,amylosucrase [EC:2.4.1.4],2.4.1.4,Transferases,Glycosyltransferases,Hexosyltransferases,Glycosidase,COG0366,G,Carbohydrate metabolism and transport
K05343,maltose alpha-D-glucosyltransferase / alpha-amylase [EC:5.4.99.16 3.2.1.1],5.4.99.16,Isomerases,Intramolecular transferases,Transferring other groups,Glycosidase,COG0366,G,Carbohydrate metabolism and transport
K05346,deoxyribonucleoside regulator,NA,NA,NA,NA,"DNA-binding transcriptional regulator LsrR, DeoR family",COG2390,K,Transcription
K05349,beta-glucosidase [EC:3.2.1.21],3.2.1.21,Hydrolases,Glycosylases,"Glycosidases, i",Periplasmic beta-glucosidase and related glycosidases,COG1472,G,Carbohydrate metabolism and transport
K05350,beta-glucosidase [EC:3.2.1.21],3.2.1.21,Hydrolases,Glycosylases,"Glycosidases, i",Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase,COG2723,G,Carbohydrate metabolism and transport
K05351,D-xylulose reductase [EC:1.1.1.9],1.1.1.9,Oxidoreductases,Acting on the CH-OH group of donors,With NAD(+) or NADP(+) as acceptor,NA,NA,NA,NA
K05358,quinate dehydrogenase (quinone) [EC:1.1.5.8],1.1.5.8,Oxidoreductases,Acting on the CH-OH group of donors,With a quinone or similar compound as acceptor,NA,NA,NA,NA
K05362,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase [EC:6.3.2.7],6.3.2.7,Ligases,Forming carbon-nitrogen bonds,Acid--amino-acid ligases (peptide synthases),UDP-N-acetylmuramyl tripeptide synthase,COG0769,M,Cell wall/membrane/envelop biogenesis
K05363,serine/alanine adding enzyme [EC:2.3.2.10],2.3.2.10,Transferases,Acyltransferases,Aminoacyltransferases,Lipid II:glycine glycyltransferase (Peptidoglycan interpeptide bridge formation enzyme),COG2348,M,Cell wall/membrane/envelop biogenesis
K05364,penicillin-binding protein A,NA,NA,NA,NA,Cell division protein FtsI/penicillin-binding protein 2,COG0768,D,Cell cycle control and mitosis
K05365,penicillin-binding protein 1B [EC:2.4.1.129 3.4.16.4],2.4.1.129,Transferases,Glycosyltransferases,Hexosyltransferases,Membrane carboxypeptidase (penicillin-binding protein),COG0744,M,Cell wall/membrane/envelop biogenesis
K05366,penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4],2.4.1.129,Transferases,Glycosyltransferases,Hexosyltransferases,Membrane carboxypeptidase (penicillin-binding protein),COG0744,M,Cell wall/membrane/envelop biogenesis
K05367,penicillin-binding protein 1C [EC:2.4.1.129],2.4.1.129,Transferases,Glycosyltransferases,Hexosyltransferases,Membrane carboxypeptidase (penicillin-binding protein),COG0744,M,Cell wall/membrane/envelop biogenesis
K05368,aquacobalamin reductase / NAD(P)H-flavin reductase [EC:1.16.1.3 1.5.1.41],1.16.1.3,Oxidoreductases,Oxidizing metal ions,With NAD(+) or NADP(+) as acceptor,NAD(P)H-flavin reductase,COG0543,H,Coenzyme metabolis
K05372,AraC family transcriptional regulator,NA,NA,NA,NA,AraC-type DNA-binding domain and AraC-containing proteins,COG2207,K,Transcription
K05373,"MFS transporter, putative signal transducer",NA,NA,NA,NA,MFS family permease,COG0477,G,Carbohydrate metabolism and transport
K05374,"yersiniabactin synthetase, thioesterase component",NA,NA,NA,NA,Surfactin synthase thioesterase subunit,COG3208,Q,Secondary Structure
K05375,MbtH protein,NA,NA,NA,NA,"Uncharacterized conserved protein YbdZ, MbtH family",COG3251,S,Function Unknown
K05396,D-cysteine desulfhydrase [EC:4.4.1.15],4.4.1.15,Lyases,Carbon-sulfur lyases,Carbon-sulfur lyases,"1-aminocyclopropane-1-carboxylate deaminase/D-cysteine desulfhydrase, PLP-dependent ACC family",COG2515,E,Amino Acid metabolis and transport
K05499,"LacI family transcriptional regulator, repressor for deo operon, udp, cdd, tsx, nupC, and nupG",NA,NA,NA,NA,"DNA-binding transcriptional regulator, LacI/PurR family",COG1609,K,Transcription
K05501,TetR/AcrR family transcriptional regulator,NA,NA,NA,NA,"DNA-binding transcriptional regulator, AcrR family",COG1309,K,Transcription
K05515,penicillin-binding protein 2 [EC:3.4.16.4],3.4.16.4,Hydrolases,Acting on peptide bonds (peptidases),Serine-type carboxypeptidases,Cell division protein FtsI/penicillin-binding protein 2,COG0768,D,Cell cycle control and mitosis
K05516,curved DNA-binding protein,NA,NA,NA,NA,"Curved DNA-binding protein CbpA, contains a DnaJ-like domain",COG2214,K,Transcription
K05517,nucleoside-specific channel-forming protein,NA,NA,NA,NA,Nucleoside-specific outer membrane channel protein Tsx,COG3248,M,Cell wall/membrane/envelop biogenesis
K05520,protease I [EC:3.5.1.124],3.5.1.124,Hydrolases,"Acting on carbon-nitrogen bonds, other than peptide bonds",In linear amides,Putative intracellular protease/amidase,COG0693,R,General Functional Prediction only
K05521,ADP-ribosyl-[dinitrogen reductase] hydrolase [EC:3.2.2.24],3.2.2.24,Hydrolases,Glycosylases,Hydrolyzing N-glycosyl compounds,ADP-ribosylglycohydrolase,COG1397,O,"Post-translational modification, protein turnover, chaperone functions"
K05522,endonuclease VIII [EC:3.2.2.- 4.2.99.18],3.2.2.-,Hydrolases,Glycosylases,Hydrolyzing N-glycosyl compounds,Formamidopyrimidine-DNA glycosylase,COG0266,L,Replication and repair
K05523,D-lactate dehydratase / protein deglycase [EC:4.2.1.130 3.5.1.124],4.2.1.130,Lyases,Carbon-oxygen lyases,Hydro-lyases,Putative intracellular protease/amidase,COG0693,R,General Functional Prediction only
K05524,ferredoxin,NA,NA,NA,NA,"NAD-dependent dihydropyrimidine dehydrogenase, PreA subunit",COG1146,F,Nucleotide metabolism and transport
K05526,succinylglutamate desuccinylase [EC:3.5.1.96],3.5.1.96,Hydrolases,"Acting on carbon-nitrogen bonds, other than peptide bonds",In linear amides,Succinylglutamate desuccinylase,COG2988,E,Amino Acid metabolis and transport
K05527,"BolA family transcriptional regulator, general stress-responsive regulator",NA,NA,NA,NA,Stress-induced morphogen (activity unknown),COG0271,T,Signal Transduction
K05539,tRNA-dihydrouridine synthase A [EC:1.-.-.-],1.-.-.-,Oxidoreductases,Oxidoreductases,Oxidoreductases,tRNA-dihydrouridine synthase,COG0042,J,Tranlsation
K05540,tRNA-dihydrouridine synthase B [EC:1.-.-.-],1.-.-.-,Oxidoreductases,Oxidoreductases,Oxidoreductases,tRNA-dihydrouridine synthase,COG0042,J,Tranlsation
K05541,tRNA-dihydrouridine synthase C [EC:1.-.-.-],1.-.-.-,Oxidoreductases,Oxidoreductases,Oxidoreductases,tRNA-dihydrouridine synthase,COG0042,J,Tranlsation
K05548,"MFS transporter, AAHS family, benzoate transport protein",NA,NA,NA,NA,MFS family permease,COG0477,G,Carbohydrate metabolism and transport
K05549,"benzoate/toluate 1,2-dioxygenase subunit alpha [EC:1.14.12.10 1.14.12.-]",1.14.12.10,Oxidoreductases,"Acting on paired donors, with incorporation or reduction of molecular oxygen","With NADH or NADPH as one donor, and incorporation of two atoms of oxygen into one donor","Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit",COG4638,P,Inorganic ion transport and metabolism
K05559,multicomponent K+:H+ antiporter subunit A,NA,NA,NA,NA,"NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit",COG1009,C,Energy production and conversion
K05560,multicomponent K+:H+ antiporter subunit C,NA,NA,NA,NA,"Multisubunit Na+/H+ antiporter, MnhC subunit",COG1006,P,Inorganic ion transport and metabolism
K05561,multicomponent K+:H+ antiporter subunit D,NA,NA,NA,NA,"Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit",COG0651,C,Energy production and conversion
K05562,multicomponent K+:H+ antiporter subunit E,NA,NA,NA,NA,"Multisubunit Na+/H+ antiporter, MnhE subunit",COG1863,P,Inorganic ion transport and metabolism
K05563,multicomponent K+:H+ antiporter subunit F,NA,NA,NA,NA,"Multisubunit Na+/H+ antiporter, MnhF subunit",COG2212,P,Inorganic ion transport and metabolism
K05564,multicomponent K+:H+ antiporter subunit G,NA,NA,NA,NA,"Multisubunit Na+/H+ antiporter, MnhG subunit",COG1320,P,Inorganic ion transport and metabolism
K05565,multicomponent Na+:H+ antiporter subunit A,NA,NA,NA,NA,"NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit",COG1009,C,Energy production and conversion
K05566,multicomponent Na+:H+ antiporter subunit B,NA,NA,NA,NA,"Multisubunit Na+/H+ antiporter, MnhB subunit",COG2111,P,Inorganic ion transport and metabolism
K05567,multicomponent Na+:H+ antiporter subunit C,NA,NA,NA,NA,"Multisubunit Na+/H+ antiporter, MnhC subunit",COG1006,P,Inorganic ion transport and metabolism
K05568,multicomponent Na+:H+ antiporter subunit D,NA,NA,NA,NA,"Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit",COG0651,C,Energy production and conversion
K05569,multicomponent Na+:H+ antiporter subunit E,NA,NA,NA,NA,"Multisubunit Na+/H+ antiporter, MnhE subunit",COG1863,P,Inorganic ion transport and metabolism
K05570,multicomponent Na+:H+ antiporter subunit F,NA,NA,NA,NA,"Multisubunit Na+/H+ antiporter, MnhF subunit",COG2212,P,Inorganic ion transport and metabolism
K05571,multicomponent Na+:H+ antiporter subunit G,NA,NA,NA,NA,"Multisubunit Na+/H+ antiporter, MnhG subunit",COG1320,P,Inorganic ion transport and metabolism
K05577,NAD(P)H-quinone oxidoreductase subunit 5 [EC:7.1.1.2],7.1.1.2,Translocases,Catalysing the translocation of hydrons,Hydron translocation or charge separation linked to oxidoreductase reactions,"NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit",COG1009,C,Energy production and conversion
K05589,cell division protein FtsB,NA,NA,NA,NA,Cell division protein FtsB,COG2919,D,Cell cycle control and mitosis
